,singer,name,genres
60,Gryffin(그리핀),I Want Love,"['포크/블루스/컨트리', 'POP', '일렉트로니카']"
61,Elina,Blue,"['포크/블루스/컨트리', '발라드', '일렉트로니카', '뉴에이지', '아이돌', 'J-POP', '댄스', '인디음악', 'EDM', '랩/힙합', 'R&B/Soul', '재즈', 'POP', 'OST', '포크/블루스', '록/메탈']"
62,[Vol.48] 유희열의 스케치북 : 스물여섯 번째 목소리 '유스케 X 잔나비',잔나비,['OST']
63,Lewis OfMan,Move Me,"['월드뮤직', '일렉트로니카', '록/메탈']"
64,Djouher,Lonely Nights,"['POP', '랩/힙합']"
65,IFA,Memories,"['포크/블루스/컨트리', '발라드', '일렉트로니카', '뉴에이지', '아이돌', '월드뮤직', 'J-POP', '댄스', '성인가요', 'EDM', '인디음악', '랩/힙합', 'R&B/Soul', '재즈', 'POP', 'OST', '클래식', '록/메탈']"
66,Linda Sundblad,Lucky You,"['POP', 'OST', '록/메탈']"
67,The 1975,Frail State Of Mind,['록/메탈']
68,Grace VanderWaal(그레이스 밴더월),The City,"['포크/블루스/컨트리', '발라드', '일렉트로니카', 'R&B/Soul', 'POP', 'OST', '록/메탈', '랩/힙합']"
69,Ralph Castelli(랄프 카스텔리),Better Things,"['POP', '랩/힙합']"
70,Alina Baraz(알리나 바라즈),Tainted,['R&B/Soul']
71,Bird Concerns,Trapped,"['일렉트로니카', 'R&B/Soul', 'OST', '랩/힙합']"
72,이달의 소녀,Butterfly,"['포크/블루스/컨트리', '발라드', '일렉트로니카', '아이돌', '뉴에이지', '월드뮤직', 'J-POP', '댄스', '인디음악', '랩/힙합', 'R&B/Soul', '재즈', 'POP', 'OST', '포크/블루스', '록/메탈']"
73,Tate McRae,Kids Are Alright,['POP']
74,Jay-Jay Johanson(제이 제이 요한슨),Bury The Hatchet,['POP']
75,FINNEAS,I Lost a Friend,['POP']
76,Caecillia,You Are Mine,"['발라드', 'R&B/Soul', 'POP', '인디음악', '록/메탈', '랩/힙합']"
77,ZAYA,Always Been You,"['POP', 'OST', 'R&B/Soul']"
78,Chelsea Cutler(첼시 커틀러),sometimes (live in new york),['POP']
79,James Bay(제임스 베이),Break My Heart Right,"['POP', '록/메탈']"
80,Bill Fay(빌 페이),Love Will Remain,['록/메탈']
81,Teeers,EZ Time,['POP']
82,moi(모아),아무말도 하지 말아요,"['발라드', '포크/블루스', '일렉트로니카', '인디음악']"
83,킴다(KIMDA),Save me,"['발라드', '일렉트로니카', 'R&B/Soul', '인디음악', 'OST']"
84,No2zcat,…,['록/메탈']
85,Yangyang (양양),Can I Love You More?,['R&B/Soul']
86,Zesawa,Alive,"['발라드', '일렉트로니카', '아이돌', 'J-POP', '뮤지컬', '댄스', '인디음악', 'EDM', '랩/힙합', '국악', 'R&B/Soul', '재즈', 'POP', 'CCM', 'OST', '포크/블루스', '록/메탈']"
87,Why Don't We(와이 돈 위),For You,"['포크/블루스/컨트리', '발라드', '일렉트로니카', '뉴에이지', '아이돌', 'J-POP', '댄스', '인디음악', 'EDM', '랩/힙합', 'R&B/Soul', '재즈', 'POP', 'CCM', 'OST', '록/메탈']"
88,INNA(이나),Heartbreaker,"['포크/블루스/컨트리', 'R&B/Soul', '일렉트로니카', '재즈', 'POP', '아이돌', 'CCM', '댄스', '록/메탈', '랩/힙합']"
89,King Deco,Read My Lips,"['POP', '일렉트로니카', 'R&B/Soul']"
90,Cash Cash(캐쉬 캐쉬),Mean It (feat. Wrabel),"['EDM', '일렉트로니카']"
91,jens,Wish I Was Right For You,['POP']
92,페퍼톤스 (PEPPERTONES),Thank You,"['발라드', 'R&B/Soul', '일렉트로니카', '재즈', 'POP', '뉴에이지', '월드뮤직', 'OST', 'CCM', 'J-POP', '아이돌', '댄스', '인디음악', '록/메탈', '랩/힙합']"
93,포미닛(4minute),거울아 거울아,"['댄스', '아이돌']"
94,Ylvis(일비스),The Fox,"['POP', '록/메탈']"
95,John De Sohn(존 드 손),I Got Eyes (feat. TILI),['POP']
96,Mild High Club,Kokopelli,['록/메탈']
97,키겐,별들도 눈감은밤,"['인디음악', '발라드']"
98,FINNEAS,Angel,"['발라드', '일렉트로니카', '아이돌', '뉴에이지', '월드뮤직', 'J-POP', '댄스', '인디음악', '랩/힙합', 'R&B/Soul', '재즈', 'POP', 'CCM', 'OST', '클래식', '록/메탈']"
99,Now United,Fiesta,"['랩/힙합', '일렉트로니카', '클래식', 'R&B/Soul', '재즈', '록/메탈', 'OST', 'J-POP']"
